,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
58064,58064,2020-04-25,美国,US,None,None,None,None,922293,0,93283,52061
57936,57936,2020-04-25,西班牙,ES,None,None,None,None,219764,0,92355,22524
57970,57970,2020-04-25,意大利,IT,None,None,None,None,192994,0,60498,25969
57941,57941,2020-04-25,法国,FR,None,None,None,None,159828,0,43493,22245
57926,57926,2020-04-25,德国,DE,None,None,None,None,155719,0,115724,5838
57943,57943,2020-04-25,英国,GB,None,None,None,None,143464,0,1918,19506
58059,58059,2020-04-25,土耳其,TR,None,None,None,None,104912,0,21737,2600
57968,57968,2020-04-25,伊朗,IR,None,None,None,None,88194,0,66596,5574
57381,57381,2020-04-25,中国,CN,None,None,None,None,84327,17,78362,4642
58034,58034,2020-04-25,俄罗斯,RU,None,None,None,None,68622,0,5568,615
57367,57367,2020-04-25,巴西,BR,None,None,None,None,52995,0,26573,3670
57373,57373,2020-04-25,加拿大,CA,None,None,None,None,44856,0,15469,2294
57357,57357,2020-04-25,比利时,BE,None,None,None,None,44293,0,10122,6679
58013,58013,2020-04-25,荷兰,NL,None,None,None,None,36535,0,322,4289
57377,57377,2020-04-25,瑞士,CH,None,None,None,None,28677,0,20600,1551
57966,57966,2020-04-25,印度,IN,None,None,None,None,24447,0,5496,780
58028,58028,2020-04-25,葡萄牙,PT,None,None,None,None,22797,0,1228,854
57932,57932,2020-04-25,厄瓜多尔,EC,None,None,None,None,22719,0,1366,576
58019,58019,2020-04-25,秘鲁,PE,None,None,None,None,21648,0,7496,634
57964,57964,2020-04-25,爱尔兰,IE,None,None,None,None,18184,0,9233,1014
58039,58039,2020-04-25,瑞典,SE,None,None,None,None,17567,0,550,2152
58036,58036,2020-04-25,沙特阿拉伯,SA,None,None,None,None,15102,0,1925,127
57351,57351,2020-04-25,奥地利,AT,None,None,None,None,15071,0,11872,522
57965,57965,2020-04-25,以色列,IL,None,None,None,None,15058,0,6003,194
58006,58006,2020-04-25,墨西哥,MX,None,None,None,None,12872,0,2627,1221
57973,57973,2020-04-25,日本,JP,None,None,None,None,12863,0,2408,345
57379,57379,2020-04-25,智利,CL,None,None,None,None,12306,0,6327,174
58040,58040,2020-04-25,新加坡,SG,None,None,None,None,12075,0,956,12
58023,58023,2020-04-25,巴基斯坦,PK,None,None,None,None,11940,0,2755,253
58024,58024,2020-04-25,波兰,PL,None,None,None,None,10892,0,1944,494
57978,57978,2020-04-25,韩国,KR,None,None,None,None,10718,0,8635,240
58032,58032,2020-04-25,罗马尼亚,RO,None,None,None,None,10417,0,2817,552
57343,57343,2020-04-25,阿联酋,AE,None,None,None,None,9281,0,1760,64
57371,57371,2020-04-25,白俄罗斯,BY,None,None,None,None,8773,0,1120,63
58030,58030,2020-04-25,卡塔尔,QA,None,None,None,None,8525,0,809,10
57963,57963,2020-04-25,印度尼西亚,ID,None,None,None,None,8211,0,1002,686
57928,57928,2020-04-25,丹麦,DK,None,None,None,None,8210,0,5384,394
58062,58062,2020-04-25,乌克兰,UA,None,None,None,None,7647,0,601,193
58033,58033,2020-04-25,塞尔维亚,RS,None,None,None,None,7483,0,1094,144
58014,58014,2020-04-25,挪威,NO,None,None,None,None,7463,0,32,199
57925,57925,2020-04-25,捷克,CZ,None,None,None,None,7273,0,2371,214
58022,58022,2020-04-25,菲律宾,PH,None,None,None,None,7192,0,762,477
57352,57352,2020-04-25,澳大利亚,AU,None,None,None,None,6675,0,5126,78
57930,57930,2020-04-25,多米尼加,DO,None,None,None,None,5749,0,763,267
