,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
57381,57381,2020-04-25,中国,CN,None,None,None,None,84327,17,78362,4642
57636,57636,2020-04-25,中国,CN,湖北省,420000.0,None,None,68128,0,63593,4512
57672,57672,2020-04-25,中国,CN,广东省,440000.0,None,None,1585,0,1534,8
57616,57616,2020-04-25,中国,CN,河南省,410000.0,None,None,1276,0,1254,22
57540,57540,2020-04-25,中国,CN,浙江省,330000.0,None,None,1268,0,1256,1
57916,57916,2020-04-25,中国,CN,香港特别行政区,810000.0,None,None,1035,0,725,4
57656,57656,2020-04-25,中国,CN,湖南省,430000.0,None,None,1019,0,1015,4
57555,57555,2020-04-25,中国,CN,安徽省,340000.0,None,None,991,0,985,6
57584,57584,2020-04-25,中国,CN,江西省,360000.0,None,None,937,0,936,1
57490,57490,2020-04-25,中国,CN,黑龙江省,230000.0,None,None,930,0,508,13
57598,57598,2020-04-25,中国,CN,山东省,370000.0,None,None,787,0,767,7
57525,57525,2020-04-25,中国,CN,江苏省,320000.0,None,None,653,0,646,0
57505,57505,2020-04-25,中国,CN,上海市,310000.0,None,None,641,0,547,7
57382,57382,2020-04-25,中国,CN,北京市,110000.0,None,None,593,0,525,8
57733,57733,2020-04-25,中国,CN,重庆市,500000.0,None,None,579,0,573,6
57776,57776,2020-04-25,中国,CN,四川省,510000.0,None,None,561,0,558,3
57914,57914,2020-04-25,中国,CN,台湾省,710000.0,None,None,428,0,264,6
57573,57573,2020-04-25,中国,CN,福建省,350000.0,None,None,355,0,349,1
57421,57421,2020-04-25,中国,CN,河北省,130000.0,None,None,328,0,318,6
57837,57837,2020-04-25,中国,CN,陕西省,610000.0,None,None,286,0,253,3
57696,57696,2020-04-25,中国,CN,广西壮族自治区,450000.0,None,None,254,0,252,2
57447,57447,2020-04-25,中国,CN,内蒙古自治区,150000.0,None,None,197,0,114,1
57434,57434,2020-04-25,中国,CN,山西省,140000.0,None,None,197,0,149,0
57402,57402,2020-04-25,中国,CN,天津市,120000.0,None,None,190,0,181,3
57810,57810,2020-04-25,中国,CN,云南省,530000.0,None,None,185,0,180,2
57712,57712,2020-04-25,中国,CN,海南省,460000.0,None,None,168,0,162,6
57799,57799,2020-04-25,中国,CN,贵州省,520000.0,None,None,147,0,145,2
57461,57461,2020-04-25,中国,CN,辽宁省,210000.0,None,None,146,0,143,2
57851,57851,2020-04-25,中国,CN,甘肃省,620000.0,None,None,139,0,137,2
57477,57477,2020-04-25,中国,CN,吉林省,220000.0,None,None,109,0,99,1
57885,57885,2020-04-25,中国,CN,新疆维吾尔自治区,650000.0,None,None,76,0,73,3
57877,57877,2020-04-25,中国,CN,宁夏回族自治区,640000.0,None,None,75,0,75,0
57918,57918,2020-04-25,中国,CN,澳门特别行政区,820000.0,None,None,45,0,27,0
57867,57867,2020-04-25,中国,CN,青海省,630000.0,None,None,18,0,18,0
57828,57828,2020-04-25,中国,CN,西藏自治区,540000.0,None,None,1,0,1,0
