date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,adding
2020-05-01,CN,中国,None,None,None,None,84385,9,78845,4643,12
2020-05-01,CN,中国,420000,湖北,None,None,68128,0,63616,4512,0
2020-05-01,CN,中国,440000,广东,None,None,1588,0,1565,8,0
2020-05-01,CN,中国,410000,河南,None,None,1276,0,1254,22,0
2020-05-01,CN,中国,330000,浙江,None,None,1268,0,1264,1,0
2020-05-01,CN,中国,810000,香港,None,None,1037,0,846,4,0
2020-05-01,CN,中国,430000,湖南,None,None,1019,0,1015,4,0
2020-05-01,CN,中国,340000,安徽,None,None,991,0,985,6,0
2020-05-01,CN,中国,230000,黑龙江,None,None,944,0,587,13,5
2020-05-01,CN,中国,360000,江西,None,None,937,0,936,1,0
2020-05-01,CN,中国,370000,山东,None,None,787,0,772,7,0
2020-05-01,CN,中国,320000,江苏,None,None,653,0,650,0,0
2020-05-01,CN,中国,310000,上海,None,None,652,0,599,7,5
2020-05-01,CN,中国,110000,北京,None,None,593,0,547,9,0
2020-05-01,CN,中国,500000,重庆,None,None,579,0,573,6,0
2020-05-01,CN,中国,510000,四川,None,None,561,0,558,3,0
2020-05-01,CN,中国,710000,台湾,None,None,429,0,322,6,0
2020-05-01,CN,中国,350000,福建,None,None,356,0,353,1,1
2020-05-01,CN,中国,130000,河北,None,None,328,0,318,6,0
2020-05-01,CN,中国,610000,陕西,None,None,306,0,254,3,0
2020-05-01,CN,中国,450000,广西,None,None,254,0,252,2,0
2020-05-01,CN,中国,150000,内蒙古,None,None,201,0,152,1,1
2020-05-01,CN,中国,140000,山西,None,None,197,0,172,0,0
2020-05-01,CN,中国,120000,天津,None,None,190,0,184,3,0
2020-05-01,CN,中国,530000,云南,None,None,185,0,181,2,0
2020-05-01,CN,中国,460000,海南,None,None,168,0,162,6,0
2020-05-01,CN,中国,520000,贵州,None,None,147,0,145,2,0
2020-05-01,CN,中国,210000,辽宁,None,None,146,0,143,2,0
2020-05-01,CN,中国,620000,甘肃,None,None,139,0,137,2,0
2020-05-01,CN,中国,220000,吉林,None,None,111,0,101,1,0
2020-05-01,CN,中国,650000,新疆,None,None,76,0,73,3,0
2020-05-01,CN,中国,640000,宁夏,None,None,75,0,75,0,0
2020-05-01,CN,中国,820000,澳门,None,None,45,0,35,0,0
2020-05-01,CN,中国,630000,青海,None,None,18,0,18,0,0
2020-05-01,CN,中国,540000,西藏,None,None,1,0,1,0,0
