,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
55820,55820,2020-04-22,美国,US,None,None,None,None,825041,0,82973,45340
55692,55692,2020-04-22,西班牙,ES,None,None,None,None,208389,0,85915,21717
55726,55726,2020-04-22,意大利,IT,None,None,None,None,183957,0,51600,24648
55697,55697,2020-04-22,法国,FR,None,None,None,None,159297,0,39819,20829
55682,55682,2020-04-22,德国,DE,None,None,None,None,149614,0,110014,5138
55699,55699,2020-04-22,英国,GB,None,None,None,None,133495,0,1918,18100
55815,55815,2020-04-22,土耳其,TR,None,None,None,None,95591,0,14918,2259
55724,55724,2020-04-22,伊朗,IR,None,None,None,None,85996,0,63113,5391
55137,55137,2020-04-22,中国,CN,None,None,None,None,84294,35,78107,4642
55790,55790,2020-04-22,俄罗斯,RU,None,None,None,None,57999,0,4420,513
55123,55123,2020-04-22,巴西,BR,None,None,None,None,43368,0,24325,2761
55113,55113,2020-04-22,比利时,BE,None,None,None,None,41889,0,9433,6262
55129,55129,2020-04-22,加拿大,CA,None,None,None,None,38422,0,13143,1833
55769,55769,2020-04-22,荷兰,NL,None,None,None,None,34842,0,322,4054
55133,55133,2020-04-22,瑞士,CH,None,None,None,None,28268,0,19400,1478
55784,55784,2020-04-22,葡萄牙,PT,None,None,None,None,21982,0,1143,785
55722,55722,2020-04-22,印度,IN,None,None,None,None,20471,0,3976,652
55775,55775,2020-04-22,秘鲁,PE,None,None,None,None,17837,0,6982,484
55720,55720,2020-04-22,爱尔兰,IE,None,None,None,None,16040,0,9233,730
55795,55795,2020-04-22,瑞典,SE,None,None,None,None,16004,0,550,1937
55107,55107,2020-04-22,奥地利,AT,None,None,None,None,14925,0,11328,510
55721,55721,2020-04-22,以色列,IL,None,None,None,None,14326,0,4961,187
55792,55792,2020-04-22,沙特阿拉伯,SA,None,None,None,None,12772,0,1812,114
55729,55729,2020-04-22,日本,JP,None,None,None,None,11966,0,2069,289
55135,55135,2020-04-22,智利,CL,None,None,None,None,10832,0,4969,147
55734,55734,2020-04-22,韩国,KR,None,None,None,None,10694,0,8277,238
55688,55688,2020-04-22,厄瓜多尔,EC,None,None,None,None,10398,0,1207,520
55796,55796,2020-04-22,新加坡,SG,None,None,None,None,10141,0,839,11
55780,55780,2020-04-22,波兰,PL,None,None,None,None,10034,0,1513,404
55779,55779,2020-04-22,巴基斯坦,PK,None,None,None,None,9749,0,2156,209
55788,55788,2020-04-22,罗马尼亚,RO,None,None,None,None,9710,0,2406,510
55762,55762,2020-04-22,墨西哥,MX,None,None,None,None,9501,0,2627,857
55099,55099,2020-04-22,阿联酋,AE,None,None,None,None,8238,0,1546,52
55684,55684,2020-04-22,丹麦,DK,None,None,None,None,7912,0,4889,370
55719,55719,2020-04-22,印度尼西亚,ID,None,None,None,None,7418,0,913,635
55127,55127,2020-04-22,白俄罗斯,BY,None,None,None,None,7281,0,769,58
55770,55770,2020-04-22,挪威,NO,None,None,None,None,7241,0,32,182
55786,55786,2020-04-22,卡塔尔,QA,None,None,None,None,7141,0,689,10
55681,55681,2020-04-22,捷克,CZ,None,None,None,None,7041,0,1800,204
55789,55789,2020-04-22,塞尔维亚,RS,None,None,None,None,6890,0,977,130
55778,55778,2020-04-22,菲律宾,PH,None,None,None,None,6710,0,693,446
55108,55108,2020-04-22,澳大利亚,AU,None,None,None,None,6647,0,4685,74
55818,55818,2020-04-22,乌克兰,UA,None,None,None,None,6592,0,424,174
55763,55763,2020-04-22,马来西亚,MY,None,None,None,None,5482,0,3349,92
55686,55686,2020-04-22,多米尼加,DO,None,None,None,None,5044,0,463,245
55774,55774,2020-04-22,巴拿马,PA,None,None,None,None,4821,0,231,141
55676,55676,2020-04-22,哥伦比亚,CO,None,None,None,None,4149,0,804,196
55694,55694,2020-04-22,芬兰,FI,None,None,None,None,4129,0,2000,141
55112,55112,2020-04-22,孟加拉国,BD,None,None,None,None,3772,0,92,120
55745,55745,2020-04-22,卢森堡,LU,None,None,None,None,3618,0,670,78
55690,55690,2020-04-22,埃及,EG,None,None,None,None,3490,0,870,264
55831,55831,2020-04-22,南非,ZA,None,None,None,None,3465,0,1055,58
55748,55748,2020-04-22,摩洛哥,MA,None,None,None,None,3377,0,398,149
55106,55106,2020-04-22,阿根廷,AR,None,None,None,None,3144,0,840,151
55812,55812,2020-04-22,泰国,TH,None,None,None,None,2826,0,2352,49
55687,55687,2020-04-22,阿尔及利亚,DZ,None,None,None,None,2811,0,1152,392
55750,55750,2020-04-22,摩尔多瓦,MD,None,None,None,None,2614,0,505,73
55710,55710,2020-04-22,希腊,GR,None,None,None,None,2401,0,577,121
55735,55735,2020-04-22,科威特,KW,None,None,None,None,2248,0,443,13
55718,55718,2020-04-22,匈牙利,HU,None,None,None,None,2168,0,295,225
55737,55737,2020-04-22,哈萨克斯坦,KZ,None,None,None,None,2047,0,505,19
55116,55116,2020-04-22,巴林,BH,None,None,None,None,2009,0,1026,7
55716,55716,2020-04-22,克罗地亚,HR,None,None,None,None,1908,0,801,48
55725,55725,2020-04-22,冰岛,IS,None,None,None,None,1778,0,1417,10
55822,55822,2020-04-22,乌兹别克斯坦,UZ,None,None,None,None,1692,0,357,6
55773,55773,2020-04-22,阿曼,OM,None,None,None,None,1614,0,238,8
55723,55723,2020-04-22,伊拉克,IQ,None,None,None,None,1602,0,1096,83
55689,55689,2020-04-22,爱沙尼亚,EE,None,None,None,None,1559,0,184,44
55110,55110,2020-04-22,阿塞拜疆,AZ,None,None,None,None,1518,0,907,20
