,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
50584,50584,2020-04-15,美国,US,,,,,614246,0,38820,26064
50456,50456,2020-04-15,西班牙,ES,,,,,174060,0,67504,18255
50490,50490,2020-04-15,意大利,IT,,,,,162488,0,37130,21067
50461,50461,2020-04-15,法国,FR,,,,,143303,0,28805,15729
50446,50446,2020-04-15,德国,DE,,,,,132950,0,80682,3497
50463,50463,2020-04-15,英国,GB,,,,,94845,0,1918,12129
49902,49902,2020-04-15,中国,CN,,,,,83745,73,78389,3352
50488,50488,2020-04-15,伊朗,IR,,,,,74877,0,48129,4683
50156,50156,2020-04-15,中国,CN,湖北省,420000.0,,,67803,0,64402,3222
50579,50579,2020-04-15,土耳其,TR,,,,,65111,0,4799,1403
50159,50159,2020-04-15,中国,CN,湖北省,420000.0,武汉市,420100,50007,0,47250,2579
49878,49878,2020-04-15,比利时,BE,,,,,31119,0,6868,4157
50533,50533,2020-04-15,荷兰,NL,,,,,27580,0,297,2955
49894,49894,2020-04-15,加拿大,CA,,,,,27063,0,8235,903
49898,49898,2020-04-15,瑞士,CH,,,,,25936,0,13700,1174
49888,49888,2020-04-15,巴西,BR,,,,,25684,0,14026,1552
50554,50554,2020-04-15,俄罗斯,RU,,,,,21102,0,1694,170
50548,50548,2020-04-15,葡萄牙,PT,,,,,17448,0,347,567
49872,49872,2020-04-15,奥地利,AT,,,,,14234,0,7633,384
50485,50485,2020-04-15,以色列,IL,,,,,12046,0,2195,123
50486,50486,2020-04-15,印度,IN,,,,,11487,0,1359,393
50484,50484,2020-04-15,爱尔兰,IE,,,,,11479,0,25,406
50559,50559,2020-04-15,瑞典,SE,,,,,11445,0,381,1033
50498,50498,2020-04-15,韩国,KR,,,,,10591,0,7616,225
50539,50539,2020-04-15,秘鲁,PE,,,,,10303,0,2869,230
50493,50493,2020-04-15,日本,JP,,,,,8203,0,853,159
49900,49900,2020-04-15,智利,CL,,,,,7917,0,2646,92
50452,50452,2020-04-15,厄瓜多尔,EC,,,,,7603,0,696,369
50544,50544,2020-04-15,波兰,PL,,,,,7202,0,618,263
50552,50552,2020-04-15,罗马尼亚,RO,,,,,6879,0,1051,351
50448,50448,2020-04-15,丹麦,DK,,,,,6706,0,2689,299
50534,50534,2020-04-15,挪威,NO,,,,,6623,0,32,139
49873,49873,2020-04-15,澳大利亚,AU,,,,,6494,0,3494,61
50445,50445,2020-04-15,捷克,CZ,,,,,6141,0,642,161
50543,50543,2020-04-15,巴基斯坦,PK,,,,,5988,0,1446,107
50556,50556,2020-04-15,沙特阿拉伯,SA,,,,,5369,0,889,73
50526,50526,2020-04-15,墨西哥,MX,,,,,5339,0,1964,406
50542,50542,2020-04-15,菲律宾,PH,,,,,5223,0,295,335
50527,50527,2020-04-15,马来西亚,MY,,,,,4987,0,2478,82
49864,49864,2020-04-15,阿联酋,AE,,,,,4933,0,933,28
50483,50483,2020-04-15,印度尼西亚,ID,,,,,4839,0,426,459
50553,50553,2020-04-15,塞尔维亚,RS,,,,,4465,0,400,94
50538,50538,2020-04-15,巴拿马,PA,,,,,3574,0,61,95
50166,50166,2020-04-15,中国,CN,湖北省,420000.0,孝感市,420900,3518,0,3389,129
50550,50550,2020-04-15,卡塔尔,QA,,,,,3428,0,373,7
50582,50582,2020-04-15,乌克兰,UA,,,,,3372,0,119,98
50509,50509,2020-04-15,卢森堡,LU,,,,,3307,0,500,69
50450,50450,2020-04-15,多米尼加,DO,,,,,3286,0,162,183
49892,49892,2020-04-15,白俄罗斯,BY,,,,,3281,0,203,33
50560,50560,2020-04-15,新加坡,SG,,,,,3252,0,611,10
50458,50458,2020-04-15,芬兰,FI,,,,,3161,0,300,64
50440,50440,2020-04-15,哥伦比亚,CO,,,,,2979,0,354,127
50168,50168,2020-04-15,中国,CN,湖北省,420000.0,黄冈市,421100,2907,0,2782,125
50576,50576,2020-04-15,泰国,TH,,,,,2643,0,1405,43
49871,49871,2020-04-15,阿根廷,AR,,,,,2443,0,515,105
50595,50595,2020-04-15,南非,ZA,,,,,2415,0,410,27
50454,50454,2020-04-15,埃及,EG,,,,,2350,0,589,178
50474,50474,2020-04-15,希腊,GR,,,,,2170,0,269,101
50451,50451,2020-04-15,阿尔及利亚,DZ,,,,,2070,0,691,326
50514,50514,2020-04-15,摩尔多瓦,MD,,,,,1934,0,134,40
50512,50512,2020-04-15,摩洛哥,MA,,,,,1888,0,217,126
50489,50489,2020-04-15,冰岛,IS,,,,,1720,0,989,8
50480,50480,2020-04-15,克罗地亚,HR,,,,,1704,0,415,31
50167,50167,2020-04-15,中国,CN,湖北省,420000.0,荆州市,421000,1580,0,1528,52
50482,50482,2020-04-15,匈牙利,HU,,,,,1579,0,122,134
50192,50192,2020-04-15,中国,CN,广东省,440000.0,,,1566,0,1462,8
49881,49881,2020-04-15,巴林,BH,,,,,1528,0,645,7
50487,50487,2020-04-15,伊拉克,IQ,,,,,1400,0,766,78
50164,50164,2020-04-15,中国,CN,湖北省,420000.0,鄂州市,420700,1394,0,1335,59
