,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
55137,55137,2020-04-22,中国,CN,None,None,None,None,84294,35,78107,4642
54389,54389,2020-04-21,中国,CN,None,None,None,None,84287,35,78042,4642
53641,53641,2020-04-20,中国,CN,None,None,None,None,84250,37,77978,4642
52893,52893,2020-04-19,中国,CN,None,None,None,None,84237,43,77895,4642
52145,52145,2020-04-18,中国,CN,None,None,None,None,84201,48,77825,4642
51396,51396,2020-04-17,中国,CN,None,None,None,None,84180,63,77744,4642
50649,50649,2020-04-16,中国,CN,None,None,None,None,84149,62,77635,4642
49902,49902,2020-04-15,中国,CN,None,None,None,None,83797,63,77539,3352
49155,49155,2020-04-14,中国,CN,None,None,None,None,83745,73,77424,3352
48408,48408,2020-04-13,中国,CN,None,None,None,None,83696,72,77297,3351
47661,47661,2020-04-12,中国,CN,None,None,None,None,83597,72,77180,3351
46913,46913,2020-04-11,中国,CN,None,None,None,None,83482,82,77055,3349
46166,46166,2020-04-10,中国,CN,None,None,None,None,83369,44,77055,3349
45420,45420,2020-04-09,中国,CN,None,None,None,None,83305,53,77055,3345
44674,44674,2020-04-08,中国,CN,None,None,None,None,83249,73,77055,3344
43928,43928,2020-04-07,中国,CN,None,None,None,None,83157,83,77055,3342
43182,43182,2020-04-06,中国,CN,None,None,None,None,83071,89,77055,3340
42439,42439,2020-04-05,中国,CN,None,None,None,None,83005,88,77055,3340
41698,41698,2020-04-04,中国,CN,None,None,None,None,82930,107,77055,3338
40957,40957,2020-04-03,中国,CN,None,None,None,None,82875,114,76984,3335
40217,40217,2020-04-02,中国,CN,None,None,None,None,82802,135,76785,3331
39476,39476,2020-04-01,中国,CN,None,None,None,None,82724,153,76610,3327
38735,38735,2020-03-31,中国,CN,None,None,None,None,82631,172,76415,3321
37997,37997,2020-03-30,中国,CN,None,None,None,None,82545,183,76225,3314
37260,37260,2020-03-29,中国,CN,None,None,None,None,82447,168,75937,3311
36524,36524,2020-03-28,中国,CN,None,None,None,None,82341,174,75600,3306
35791,35791,2020-03-27,中国,CN,None,None,None,None,82213,184,75122,3301
35060,35060,2020-03-26,中国,CN,None,None,None,None,82078,189,74737,3298
34331,34331,2020-03-25,中国,CN,None,None,None,None,81960,159,74196,3293
33604,33604,2020-03-24,中国,CN,None,None,None,None,81846,134,73791,3287
32893,32893,2020-03-23,中国,CN,None,None,None,None,81747,132,73299,3283
32182,32182,2020-03-22,中国,CN,None,None,None,None,81600,136,72841,3276
31479,31479,2020-03-21,中国,CN,None,None,None,None,81498,118,72382,3267
30781,30781,2020-03-20,中国,CN,None,None,None,None,81416,106,71876,3261
30091,30091,2020-03-19,中国,CN,None,None,None,None,81300,104,71284,3253
29408,29408,2020-03-18,中国,CN,None,None,None,None,81235,105,70547,3250
28730,28730,2020-03-17,中国,CN,None,None,None,None,81151,119,69725,3242
28057,28057,2020-03-16,中国,CN,None,None,None,None,81116,128,68799,3231
27392,27392,2020-03-15,中国,CN,None,None,None,None,81077,134,67863,3218
26735,26735,2020-03-14,中国,CN,None,None,None,None,81048,113,67022,3204
26087,26087,2020-03-13,中国,CN,None,None,None,None,81021,115,65649,3194
25452,25452,2020-03-12,中国,CN,None,None,None,None,81003,147,64216,3180
24816,24816,2020-03-11,中国,CN,None,None,None,None,80992,253,62887,3173
24187,24187,2020-03-10,中国,CN,None,None,None,None,80955,285,61567,3162
23562,23562,2020-03-09,中国,CN,None,None,None,None,80924,349,59982,3140
22945,22945,2020-03-08,中国,CN,None,None,None,None,80904,421,58684,3123
22337,22337,2020-03-07,中国,CN,None,None,None,None,80859,458,57143,3100
21732,21732,2020-03-06,中国,CN,None,None,None,None,80813,502,55477,3073
21136,21136,2020-03-05,中国,CN,None,None,None,None,80710,482,53793,3045
20546,20546,2020-03-04,中国,CN,None,None,None,None,80565,522,52109,3015
19958,19958,2020-03-03,中国,CN,None,None,None,None,80422,520,49914,2984
19377,19377,2020-03-02,中国,CN,None,None,None,None,80302,587,47260,2946
18803,18803,2020-03-01,中国,CN,None,None,None,None,80174,715,44518,2915
18232,18232,2020-02-29,中国,CN,None,None,None,None,79968,851,41675,2873
17665,17665,2020-02-28,中国,CN,None,None,None,None,79389,1418,39049,2838
17104,17104,2020-02-27,中国,CN,None,None,None,None,78959,2308,36157,2791
16552,16552,2020-02-26,中国,CN,None,None,None,None,78630,2358,32531,2747
16002,16002,2020-02-25,中国,CN,None,None,None,None,78190,2491,29775,2718
15455,15455,2020-02-24,中国,CN,None,None,None,None,77779,2824,27353,2666
14908,14908,2020-02-23,中国,CN,None,None,None,None,77262,3434,24757,2595
14368,14368,2020-02-22,中国,CN,None,None,None,None,76846,4148,22907,2445
13827,13827,2020-02-21,中国,CN,None,None,None,None,76392,5365,20672,2348
13281,13281,2020-02-20,中国,CN,None,None,None,None,75993,5206,18277,2239
12733,12733,2020-02-19,中国,CN,None,None,None,None,75101,4922,16168,2121
12186,12186,2020-02-18,中国,CN,None,None,None,None,74276,5248,14387,2006
11639,11639,2020-02-17,中国,CN,None,None,None,None,72528,6242,12561,1870
11093,11093,2020-02-16,中国,CN,None,None,None,None,70637,7264,10860,1772
10547,10547,2020-02-15,中国,CN,None,None,None,None,68584,8229,9425,1666
10004,10004,2020-02-14,中国,CN,None,None,None,None,66575,8969,8101,1524
9461,9461,2020-02-13,中国,CN,None,None,None,None,63932,10109,6728,1381
8918,8918,2020-02-12,中国,CN,None,None,None,None,58839,13435,5646,1260
8375,8375,2020-02-11,中国,CN,None,None,None,None,44730,16067,4742,1114
7832,7832,2020-02-10,中国,CN,None,None,None,None,42708,21675,3998,1017
7293,7293,2020-02-09,中国,CN,None,None,None,None,40224,23589,3283,909
6755,6755,2020-02-08,中国,CN,None,None,None,None,37162,28942,2651,812
6221,6221,2020-02-07,中国,CN,None,None,None,None,34594,27657,2052,723
5697,5697,2020-02-06,中国,CN,None,None,None,None,31161,26359,1540,636
5262,5262,2020-02-05,中国,CN,None,None,None,None,28018,24702,1153,563
4822,4822,2020-02-04,中国,CN,None,None,None,None,24324,23260,892,490
4362,4362,2020-02-03,中国,CN,None,None,None,None,20438,23214,632,425
3908,3908,2020-02-02,中国,CN,None,None,None,None,17205,21558,475,361
3455,3455,2020-02-01,中国,CN,None,None,None,None,14380,19544,328,304
3011,3011,2020-01-31,中国,CN,None,None,None,None,11791,17988,243,259
2580,2580,2020-01-30,中国,CN,None,None,None,None,9692,15238,171,213
