,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
50903,50903,2020-04-16,中国,CN,湖北省,420000.0,None,None,68128,0,63487,4512
51652,51652,2020-04-17,中国,CN,湖北省,420000.0,None,None,68128,0,63494,4512
52400,52400,2020-04-18,中国,CN,湖北省,420000.0,None,None,68128,0,63507,4512
53148,53148,2020-04-19,中国,CN,湖北省,420000.0,None,None,68128,0,63511,4512
53896,53896,2020-04-20,中国,CN,湖北省,420000.0,None,None,68128,0,63514,4512
54644,54644,2020-04-21,中国,CN,湖北省,420000.0,None,None,68128,0,63519,4512
55392,55392,2020-04-22,中国,CN,湖北省,420000.0,None,None,68128,0,63519,4512
41210,41210,2020-04-03,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3207
41951,41951,2020-04-04,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3210
42692,42692,2020-04-05,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3212
43436,43436,2020-04-06,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3212
44182,44182,2020-04-07,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3213
44928,44928,2020-04-08,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3215
45674,45674,2020-04-09,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3216
46420,46420,2020-04-10,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3219
47167,47167,2020-04-11,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3219
47915,47915,2020-04-12,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3221
48662,48662,2020-04-13,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3221
49409,49409,2020-04-14,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3222
50156,50156,2020-04-15,中国,CN,湖北省,420000.0,None,None,67803,0,63470,3222
38989,38989,2020-03-31,中国,CN,湖北省,420000.0,None,None,67802,0,63326,3193
39730,39730,2020-04-01,中国,CN,湖北省,420000.0,None,None,67802,0,63470,3199
40470,40470,2020-04-02,中国,CN,湖北省,420000.0,None,None,67802,0,63470,3203
33145,33145,2020-03-23,中国,CN,湖北省,420000.0,None,None,67801,0,60323,3160
33857,33857,2020-03-24,中国,CN,湖北省,420000.0,None,None,67801,0,60810,3163
34584,34584,2020-03-25,中国,CN,湖北省,420000.0,None,None,67801,0,61201,3169
35313,35313,2020-03-26,中国,CN,湖北省,420000.0,None,None,67801,0,61731,3174
36044,36044,2020-03-27,中国,CN,湖北省,420000.0,None,None,67801,0,62098,3177
36777,36777,2020-03-28,中国,CN,湖北省,420000.0,None,None,67801,0,62565,3182
37513,37513,2020-03-29,中国,CN,湖北省,420000.0,None,None,67801,0,62882,3186
38250,38250,2020-03-30,中国,CN,湖北省,420000.0,None,None,67801,0,63153,3187
28975,28975,2020-03-17,中国,CN,湖北省,420000.0,None,None,67800,0,56883,3122
29652,29652,2020-03-18,中国,CN,湖北省,420000.0,None,None,67800,0,57678,3130
30339,30339,2020-03-19,中国,CN,湖北省,420000.0,None,None,67800,0,58381,3132
31032,31032,2020-03-20,中国,CN,湖北省,420000.0,None,None,67800,0,58942,3139
31729,31729,2020-03-21,中国,CN,湖北省,420000.0,None,None,67800,0,59432,3144
32436,32436,2020-03-22,中国,CN,湖北省,420000.0,None,None,67800,0,59879,3153
