,Unnamed: 0,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
55820,55820,2020-04-22,美国,US,None,None,None,None,823786,0,82860,45279
55072,55072,2020-04-21,美国,US,None,None,None,None,792846,0,72410,42491
54324,54324,2020-04-20,美国,US,None,None,None,None,765738,0,71281,40670
53576,53576,2020-04-19,美国,US,None,None,None,None,740151,0,68456,39193
52828,52828,2020-04-18,美国,US,None,None,None,None,709036,0,63510,37104
52080,52080,2020-04-17,美国,US,None,None,None,None,679766,0,57844,34705
51331,51331,2020-04-16,美国,US,None,None,None,None,650833,0,52739,32707
50584,50584,2020-04-15,美国,US,None,None,None,None,614726,0,38879,26126
49837,49837,2020-04-14,美国,US,None,None,None,None,587815,0,37315,23599
49090,49090,2020-04-13,美国,US,None,None,None,None,556569,0,32634,22063
48343,48343,2020-04-12,美国,US,None,None,None,None,529112,0,30548,20549
47596,47596,2020-04-11,美国,US,None,None,None,None,503177,0,29191,18777
46848,46848,2020-04-10,美国,US,None,None,None,None,469464,0,26522,16711
46102,46102,2020-04-09,美国,US,None,None,None,None,431694,0,24213,14789
45356,45356,2020-04-08,美国,US,None,None,None,None,400549,0,22461,12907
44610,44610,2020-04-07,美国,US,None,None,None,None,374782,0,19972,11697
43864,43864,2020-04-06,美国,US,None,None,None,None,337300,0,17582,9627
43118,43118,2020-04-05,美国,US,None,None,None,None,312249,0,15021,8503
42376,42376,2020-04-04,美国,US,None,None,None,None,288993,0,9897,7793
41635,41635,2020-04-03,美国,US,None,None,None,None,255456,0,9359,6532
40894,40894,2020-04-02,美国,US,None,None,None,None,216722,0,8672,5137
40154,40154,2020-04-01,美国,US,None,None,None,None,189753,0,7141,4081
39413,39413,2020-03-31,美国,US,None,None,None,None,165764,0,5945,3170
38673,38673,2020-03-30,美国,US,None,None,None,None,143724,0,4865,2566
37936,37936,2020-03-29,美国,US,None,None,None,None,124868,0,2612,2190
37200,37200,2020-03-28,美国,US,None,None,None,None,104860,0,894,1711
36465,36465,2020-03-27,美国,US,None,None,None,None,86012,0,753,1301
35735,35735,2020-03-26,美国,US,None,None,None,None,69197,0,619,1046
35004,35004,2020-03-25,美国,US,None,None,None,None,55231,0,354,797
34275,34275,2020-03-24,美国,US,None,None,None,None,46450,0,178,586
33548,33548,2020-03-23,美国,US,None,None,None,None,39183,0,178,473
32838,32838,2020-03-22,美国,US,None,None,None,None,27111,0,178,346
32127,32127,2020-03-21,美国,US,None,None,None,None,19624,0,147,260
31425,31425,2020-03-20,美国,US,None,None,None,None,14387,0,121,204
30728,30728,2020-03-19,美国,US,None,None,None,None,10525,0,108,153
30038,30038,2020-03-18,美国,US,None,None,None,None,6536,0,106,116
29357,29357,2020-03-17,美国,US,None,None,None,None,5073,0,56,90
28680,28680,2020-03-16,美国,US,None,None,None,None,3782,0,56,69
28008,28008,2020-03-15,美国,US,None,None,None,None,2995,0,56,60
27347,27347,2020-03-14,美国,US,None,None,None,None,2291,0,41,50
26696,26696,2020-03-13,美国,US,None,None,None,None,1832,0,31,41
26052,26052,2020-03-12,美国,US,None,None,None,None,1323,0,10,38
25417,25417,2020-03-11,美国,US,None,None,None,None,1004,0,10,31
24782,24782,2020-03-10,美国,US,None,None,None,None,717,0,10,26
24155,24155,2020-03-09,美国,US,None,None,None,None,572,0,10,22
23533,23533,2020-03-08,美国,US,None,None,None,None,445,0,10,19
22921,22921,2020-03-07,美国,US,None,None,None,None,338,0,10,17
22315,22315,2020-03-06,美国,US,None,None,None,None,233,0,3,14
21711,21711,2020-03-05,美国,US,None,None,None,None,161,0,3,11
21118,21118,2020-03-04,美国,US,None,None,None,None,126,0,3,9
20529,20529,2020-03-03,美国,US,None,None,None,None,106,0,3,6
19943,19943,2020-03-02,美国,US,None,None,None,None,89,0,3,2
19362,19362,2020-03-01,美国,US,None,None,None,None,69,0,3,1
18789,18789,2020-02-29,美国,US,None,None,None,None,64,0,3,0
17652,17652,2020-02-27,美国,US,None,None,None,None,60,0,3,0
18219,18219,2020-02-28,美国,US,None,None,None,None,60,0,3,0
17093,17093,2020-02-26,美国,US,None,None,None,None,57,0,3,0
16541,16541,2020-02-25,美国,US,None,None,None,None,53,0,3,0
15992,15992,2020-02-24,美国,US,None,None,None,None,34,0,3,0
15447,15447,2020-02-23,美国,US,None,None,None,None,34,0,3,0
14902,14902,2020-02-22,美国,US,None,None,None,None,34,0,3,0
12727,12727,2020-02-18,美国,US,None,None,None,None,15,0,3,0
10541,10541,2020-02-14,美国,US,None,None,None,None,15,0,3,0
11087,11087,2020-02-15,美国,US,None,None,None,None,15,0,3,0
11633,11633,2020-02-16,美国,US,None,None,None,None,15,0,3,0
12180,12180,2020-02-17,美国,US,None,None,None,None,15,0,3,0
13821,13821,2020-02-20,美国,US,None,None,None,None,15,0,3,0
14362,14362,2020-02-21,美国,US,None,None,None,None,15,0,3,0
13275,13275,2020-02-19,美国,US,None,None,None,None,15,0,3,0
9998,9998,2020-02-13,美国,US,None,None,None,None,14,0,3,0
9455,9455,2020-02-12,美国,US,None,None,None,None,13,0,3,0
8912,8912,2020-02-11,美国,US,None,None,None,None,13,0,3,0
6215,6215,2020-02-06,美国,US,None,None,None,None,12,0,1,0
7287,7287,2020-02-08,美国,US,None,None,None,None,12,0,3,0
6749,6749,2020-02-07,美国,US,None,None,None,None,12,0,1,0
7826,7826,2020-02-09,美国,US,None,None,None,None,12,0,3,0
